id,number,suffix,provenance,file_count,artifact_types
V473,473,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V474,474,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V475,475,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V476,476,,MISSING_DIRECT_ARTIFACT,0,
V477,477,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V478,478,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V479,479,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V479B,479,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V480,480,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V481,481,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V481B,481,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V482,482,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V482B,482,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V483,483,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V484,484,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V485,485,,RESULT_ARTIFACT_PRESERVED,2,FIGURE
V485B,485,B,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V486,486,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V487,487,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V488,488,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V489,489,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V490,490,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V491,491,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V492,492,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V493,493,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V494,494,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V495,495,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V496,496,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V497,497,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V498,498,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V499,499,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
V500,500,,RESULT_ARTIFACT_PRESERVED,1,FIGURE
